,Population,Poverty Count,state,Zip Code,Poverty Rate
1977,36471.0,5858.0,34,07017,16.06207671848866
2042,13505.0,3935.0,34,07102,29.13735653461681
2043,32881.0,10983.0,34,07103,33.402268787445635
2044,51075.0,12676.0,34,07104,24.81840430739109
2045,52008.0,11304.0,34,07105,21.73511767420397
2046,33851.0,7827.0,34,07106,23.121916634663673
2047,37684.0,10950.0,34,07107,29.057424901815093
2048,23118.0,8457.0,34,07108,36.581884246042044
2052,25016.0,5280.0,34,07112,21.10649184521906
2053,12024.0,2456.0,34,07114,20.42581503659348
